Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Reasoning,Personalization Hook
Sun Pharma Advanced Research Company Ltd. ,https://sunpharma.com/,Vadodara,Pharmaceutical Manufacturer,"Manufactures specialty generics, innovative medicines, consumer healthcare products, and active pharmaceutical ingredients (APIs)",₹71.77 Cr,Dilip S. Shanghvi,Chairman,Holds a Bachelor of Commerce from the University of Calcutta and gained practical expertise managing his father's pharmaceutical trading business,Strong,Operates 41 global plants with a vertically integrated in-house R&D-to-production pipeline,Strong,"Global HQ is in Mumbai, Regd Office in Vadodara",Strong,Company holds multiple patents in innovative drug delivery and controlled-release technologies and is a leading global pharmaceutical player with strong R&D-driven differentiation and large-scale presence in India and the US generics market.,Moderate,"Despite a commerce background, built a global pharma company through practical industry insight and by targeting high-margin, underserved segments. Dilip Shanghvi’s children, Aalok and Vidhi, already work for Sun Pharmaceuticals",Strong,"15.1% YoY revenue increase, the 2025 merger of five subsidiaries, recent USFDA product approvals, and active manufacturing capacity expansions at its Mohali and Paonta Sahib facilities",Strong,"15.1% YoY revenue increase in Q3FY26, the 2025 merger of five subsidiaries, recent USFDA product approvals, and active manufacturing capacity expansions. Modernizing its business by consolidating R&D facilities, optimizing operational costs, and evaluating AI to accelerate drug development",90,A — Strong Federer,"Large-scale operations with strong financial growth, slightly diluted by commerce background of founder.",Reported strong 15.1% YoY revenue growth along with multiple USFDA approvals and facility expansions.
Century Pharmaceuticals Ltd.,https://www.centurypharma.com/,Vadodara,APIs & pharma intermediates,Active pharmaceutical ingredients & related products,₹100-300 Cr,Janak Sheth,Managing Director,Janak Sheth is an IIT Delhi Chemical Engineering graduate with an honorary PhD and over 45 years of technical experience in pharmaceutical manufacturing and equipment design,Strong,Own manufacturing facility in Vadodara producing APIs.,Strong,HQ Vadodara,Strong,"Biotechnology pioneer and DSIR-recognized innovator that develops patented and proprietary targeted therapies, such as its unique asthma molecule and first-in-India New Biological Entity (NBE) candidates, while operating a US FDA-approvable and WHO-GMP certified manufacturing facility",Strong,Janak Sheth is an IIT Delhi Chemical Engineering graduate with an honorary PhD and over 45 years of technical experience in pharmaceutical manufacturing and equipment design,Strong,Pharma APIs under PLI & Make-in-India support.,Moderate,Stable operations with regulatory compliance track record. The company modernizes its business by utilizing a state-of-the-art manufacturing facility and investing in API research and biotechnology,90,A — Strong Federer,IIT Delhi Chemical Engineer MD gives strong technical score but only moderate growth signals.,Led by an IIT Delhi Chemical Engineer as Managing Director with strong focus on API manufacturing.
Antozyme Biotech Pvt. Ltd.,https://antozyme.com/,Vadodara,Specialty biotech enzymes,"Industrial, food, pharma, distillery, detergent enzymes, probiotics blends & custom formulations",₹10-25 Cr,Rinkeshkumar Thakorbhai Patel,Managing Director,"Technical education from ARIBAS, hands-on biotech & enzyme manufacturing background.",Strong,"Operates dedicated fermentation & formulation plant at Shed No. 303/19, Makarpura GIDC, Vadodara producing enzymes in-house (confirmed via MCA & company sources).",Strong,HQ Vadodara,Moderate,Focuses on custom enzyme development & manufacturing with exports to 34+ countries and in-house R&D capabilities.,Strong,MD has direct biotech technical education and domain expertise.,Strong,"Benefits from strong tailwinds in industrial biotech, enzymes for sustainability, food processing & exports.",Strong,"Revenue growth shown in filings, export market expansion & active website with regular updates.",87.5,A — Strong Federer,Good technical founder with strong biotech enzyme growth story and solid export performance.,Strongly growing custom enzyme manufacturer with exports to over 34 countries from its Vadodara plant.
Kalintis Healthcare Pvt Ltd,https://kalintis.com/html/index.html,Vadodara,Active Pharmaceutical Ingredients (APIs),"Manifacture Active Pharmaceutical Ingredients (APIs), specialized pharmaceutical intermediates, complex molecules",<₹50 Cr,Rasik Gondalia,Chairman,B.Sc. Pharmacy graduate and patent-holding industry veteran with 26 years of expertise in pharmaceutical manufacturing and quality assurance,Strong,"Pharmaceutical manufacturing and R&D service provider, rather than a trading or distribution-only firm",Strong,HQ in Vadodara,Strong,"Operates a state-of-the-art facility that complies with USFDA 21 CFR norms and has already secured ""Approved"" status for multiple US Drug Master Files (DMFs) for drug substances like Furosemide and Lorazepam",Moderate,"Holds a B.Pharm degree with strong pharmaceutical industry experience, but lacks advanced research credentials.",Strong,"As an Indian-based manufacturer with a USFDA-compliant facility, it is strategically positioned for global trade by actively supplying APIs and intermediates to the US, EU, and international markets",Fail,"Stale 2019 website, no active hiring, declining revenue (-21% CAGR), shrinking headcount (-20% YoY), and no confirmed new certifications or facility expansion. Though the company is modernizing by investing in a state-of-the-art R&D center, a Technology Development Center, and expanded API manufacturing facilities",70,B — Probable Federer,USFDA-compliant API maker with B.Pharm leadership but weak recent growth signals.,Secured multiple USDMFs for key APIs including Furosemide and Lorazepam from its USFDA-compliant facility.
Aries Chemtech,https://arieschemical.com/,Vadodara,Industrial water treatment and specialty chem.,"Manufacture chemicals for boilers, cooling towers, RO plants, and sugar processing, as well as polymers and phosphonates",No direct financial data available,Rajesh Mehta,Plant Head,Not identified,Strong,Manufacturer that operates a dedicated Chemical Manufacturing Unit for both batch-wise and bulk production,Strong,HQ in Vadodara,Strong,"GMP Certified and utilize an in-house R&D facility and Pilot Testing to develop proprietary, customized formulations",Fail,Not identified,Moderate,They align with Make-in-India relevance by providing essential manufactured solutions to over 40 different industrial sectors,Strong,"actively growing with 2 signals — a current 2026 website and a newly obtained GMP certification — despite no visible hiring, facility expansion, or financial filings.",70,B — Probable Federer,Strong manufacturing and GMP but lacks clear technical DM qualification and limited growth signals.,GMP-certified manufacturer with in-house R&D developing customized formulations for water treatment chemicals.
Annexe Chem / Annelx Chem,https://annexechem.com/,Vadodara,Fine & performance chemicals,"Pharma excipients, AR/LR/GMP grade fine chemicals, intermediates",< ₹100 Cr,Kalpesh Patel,Promotional Director,Rich hands-on experience in chemicals manufacturing & product knowledge.,Strong,"Operates FDA-GMP certified dedicated plant at Manjusar, Vadodara for high-purity chemicals production.",Strong,HQ Vadodara,Moderate,Broad portfolio (350+ products) with FDA-GMP facility focused on pharma & food grade chemicals.,Moderate,Strong industry technical experience in manufacturing & product development.,Strong,Pharma excipients & fine chemicals supported by PLI & export demand.,Moderate,Modernizing by establishing a brand-new FDA-GMP manufacturing facility equipped with cutting-edge technology and an in-house R&D and GLP-certified laboratory,67.5,B — Probable Federer,Solid GMP manufacturing but only moderate differentiation and technical depth.,Operates an FDA-GMP certified plant producing over 350 fine chemicals and pharma excipients.
Prakash Chemicals International Pvt. Ltd. (PCIPL),https://www.prakashchemicals.com/,Vadodara,Specialty & performance chemicals,"Fine chemicals, custom manufacturing (MAX series), performance intermediates",~₹400-500 Cr+,Manish Shah,Managing Director,MBA (Gold Medalist) in Finance & International Business.,Strong,"In-house manufacturing, blending & R&D center at Gorwa, Vadodara + Dahej SEZ facilities.",Strong,HQ Vadodara,Moderate,Strong custom synthesis & application support with exports to 100+ countries.,Moderate,Gen-2 leader with formal business education & deep industry experience.,Strong,Specialty chemicals exports with global network & Make-in-India push.,Moderate,"Expansions in warehousing/R&D, strong export market additions.",67.5,B — Probable Federer,Good scale and exports but moderate technical DM and differentiation.,Built a strong global network with custom manufacturing and exports to 100+ countries.
Ansel Biotech,https://www.anselbiotech.in/,Vadodara,Specialty enzymes,"Industrial enzymes for distillery, detergent, food, wastewater treatment",< ₹50 Cr,Renish Patel,CEO,Commerce graduate and a qualified Chartered Financial Analyst with a professional background as an equity research analyst and associate,Strong,Dedicated enzyme production facility in Vadodara.,Strong,HQ Vadodara,Moderate,Customized industrial enzyme solutions for niche applications like wastewater & distillery.,Moderate,Renish Patel is a commerce graduate and a qualified Chartered Financial Analyst with a professional background as an equity research analyst and associate,Strong,Enzyme applications in sustainability & industrial processing.,Moderate,Active operations with focus on emerging enzyme segments.,67.5,B — Probable Federer,Decent enzyme play but moderate differentiation and growth signals.,"Specializing in niche industrial enzymes for distillery, wastewater treatment and food processing applications."
Angel Chemicals Private Limited,https://www.angelchemical.com/,Vadodara,Water treatment chemicals / industrial chem.,"Manufacture a wide range of water treatment chemicals, polyelectrolytes, industrial chemicals, and testing kits",₹5 - ₹25 Cr,Mr. Nitin Patel,"CEO, Director","no technical background information is publicly available for Mr. Nitin Patel, Zauba Corp — only list him as Director, no educational qualifications",Strong,"Primarily a  manufacturer, also a trader, distributor, and service provider",Strong,HQ in Vadodara,Strong,"Combining the production of industry-standard basic chemicals with an experienced R&D department, customized packaging, and specialized maintenance services",Fail,"no technical background information is publicly available for Mr. Nitin Patel, Zauba Corp — only list him as Director, no educational qualifications",Strong,"Active Indian manufacturer of basic chemicals (NIC Code 241) that aligns with national manufacturing initiatives, possesses an Import Export Code for global trade",Fail,"no active hiring, no facility expansion, no datable certification, no updated website, and MCA filings are stale since 2022",60,B — Probable Federer,Strong manufacturing presence but weak technical DM and zero recent growth signals.,Combines manufacturing with customized R&D solutions for water treatment chemicals and polyelectrolytes.
Diamines And Chemicals,https://dacl.co.in/contact-us/,Vadodara,Specialty chemicals,"Ethylenediamine, diethylenetriamine, piperazine anhydrous, monoethanol amine, triethylenediamine, polyamine mix sweetening",₹12.25 Cr,Mr. Amit M. Mehta,Executive Chairman,"Mr. Amit Mehta is Executive Chairman with long industry tenure but no publicly documented PhD, IIT/IISc, or scientific publication record",Strong,Sole Indian manufacturer of ethyleneamines using fully indigenous proprietary technology developed in-house since 1982,Strong,HQ in Vadodara,Strong,"DSIR-recognized R&D centre, proprietary manufacturing technology placing DACL among select 6–8 global companies producing ethyleneamines",Moderate,"Mr. Amit Mehta is Executive Chairman with long industry tenure but no publicly documented PhD, IIT/IISc, or scientific publication record",Moderate,"Ethyleneamines serve pharma, agrochem, and gas sweetening — stable end-markets with no direct PLI eligibility or specific export policy push ",Fail,"Hiring: no open roles found on Naukri or LinkedIn; Facility: no new plant announced in 18 months; Certifications: ISO 9001, 14001, 45001 present but no new approval dated in last 2 years",60,B — Probable Federer,Sole manufacturer with DSIR advantage but weak growth signals and moderate technical DM.,Sole Indian manufacturer of ethyleneamines using fully indigenous proprietary technology since 1982.
FAIRMATE CHEMICALS PVT LTD,https://fairmatebd.com/,Vadodara,Construction chemicals,"400+ construction chemical products including concrete admixtures, waterproofing systems, engineering grouts, industrial flooring, surface treatment, concrete repairs",₹1 Cr-₹10 Cr,Mr. Bhavesh Baldevbhai Shah,Director,Joint Managing Director with 27 years of experience and expertise in general business and technology,Strong,Multi-location manufacturing plants across 7 Indian cities and 4 international locations — clear manufacturing footprint,Strong,Manufacturing unit in Vadodara,Moderate,"Technical collaboration with Resin Building Products UK and Morton Chemicals USA; ISO 9001, EMS 14001 and OHSAS 18001 certified; 350+ products developed— no patents found",Fail,family-owned with no documented engineering or science qualifications publicly,Strong,"Construction chemicals directly benefit from India's infrastructure push, PM Gati Shakti, smart cities program, and affordable housing — strong government spending tailwind",Moderate,"Website active with 2026 copyright and Bangladesh entity actively updated; no public hiring data, no expansion announced, no fresh certifications dated, no MCA revenue filings visible — 1 signal met (active website)",57.5,C — Borderline,Good manufacturing footprint and sector tailwind but weak technical DM and limited growth signals.,Expanded manufacturing footprint across 7 Indian cities with international presence in construction chemicals.
Scientific Research Instruments Company Pvt Ltd,https://srico-labworld.com/,Vadodara,Scientific and Laboratory Equipment,"Product and application consultation, system integration, equipment installation. Does NOT manufacture products",₹10 Cr - ₹100 Cr,Shalini Rao,Director,Has no publicly available technical or scientific background indicating domain expertise.,Fail,"Distributor and service provider that aims to ""bridge the gap"" between international manufacturers and customers, it doesn't manufacture any product of its own.",Strong,"HQ in BLR, operates/manufactures in Vadodara",Strong,"25+ years industry leadership, global manufacturer partnerships, and ""One Team"" technical lifecycle support from consultation to IQ/OQ documentation",Fail,"Decision maker (Shalini Rao, Director) has no publicly available technical or scientific background indicating domain expertise.",Moderate,"Growing sector demand but no direct access to PLI, Make-in-India, China+1, or export benefits as a foreign brand distributor.",Moderate,website remains current with a 2025 copyright and an active news section documenting its participation in 2026 industry exhibitions like the India Pharma Expo and ChemProTech Expo,50,C — Borderline,Fails on manufacturing as it is a distributor/service provider and weak technical DM.,Actively participating in major 2026 industry exhibitions like India Pharma Expo and ChemProTech Expo.
Vitarag Chemicals,https://www.vitarag.in/,Vadodara,Metal pre-treatment chemicals,"Degreasing chemicals,rust removers,phosphating chemicals,paint removers, passivation chemicals, and 3-in-1 metal treatment chem.",₹5 - 25 Cr,Mr. Hardik Parekh,Proprietor,Decision maker is a proprietor with no publicly available technical or scientific background.,Strong,"Owns its own brand ""Vitarag Chemical,"" runs its own production infrastructure with modern machinery, and conducts in-house quality testing at every stage of production.",Strong,HQ in Vadodara,Moderate,"Some technical depth (salt spray certified, own brand, ISO 9001:2015) but no patents, DSIR recognition, or USFDA/EU-GMP approvals.",Fail,Decision maker is a proprietor with no publicly available technical or scientific background.,Moderate,"Metal pre-treatment chemicals serve a stable, essential industrial niche tied to India's growing auto sector, but the segment has no direct PLI eligibility, no specific export tailwinds, and no Make-in-India policy push targeted at this sub-category.",Moderate,"meets only 1 growth signal — an actively updated website with May 2026 posts — but shows no hiring, no facility expansion, no datable new certification, and no financial filings.",47.5,C — Borderline,Basic manufacturing but weak technical DM and only moderate differentiation.,Runs its own modern production facility with in-house quality testing for metal pre-treatment chemicals.
CHLORITECH INDUSTRIES,https://www.chloritech.com/,Vadodara,Specialty chemicals — chlorine-based chemistry,"Chloral anhydrous, chloral hydrate, ethyl chloride, trichloroacetic acid, hexachloroacetone, ethyl trichloroacetate, specialist in bulk chlorination using glass-lined vessels",No public filing found,Mr. Bhavik Shah,Founder,Family-owned with in-house technical scale-up capability across 47 years — but no named PhD or IIT-qualified founder found,Strong,Manufactures chlorine-based specialty chemicals in-house using glass-lined vessels with own ISO tank fleet for hazardous transport,Strong,Vadodara-based,Moderate,Specializes in niche chlorinated products with in-house scale-up from lab to bulk; ISO 9001 certified — no patents or DSIR recognition found,Moderate,Family-owned with in-house technical scale-up capability across 47 years — but no named PhD or IIT-qualified founder found,Moderate,"Chlorinated specialty chemicals serve pharma and agrochem intermediates — stable demand, China+1 partial beneficiary but no direct PLI eligibility",Fail,"No hiring found, no expansion announced, website copyright 2019, no financial filings visible — zero signals",47.5,C — Borderline,Niche manufacturing but stagnant growth signals and moderate technical depth.,Specializes in bulk chlorination chemistry using glass-lined vessels for high-purity chlorinated intermediates.
